name
Knot
Dag
Hams
Ljos
Aud
Syl
Tor
Bjørn
Sig
Brig
Bog
Sum
Skjalg
Ein
Svein
Odd
Bjart
Geir
Gunn
Hal
Jol
Gud
Hug
Von
Stur
Kol
Arn
Sol
Rønn
Ing
grom
